-- Battletoads Block
5C3A497A82BE60704DEDF45248B6AD9B32C855AB BT_NES            -- Battletoads NES (US)
B5E4AF9DF63361498ED54A4E71BFE01E8D1A1481 BT_NES            -- Battletoads NES (US) (No Intro Headered)
D85C9FF489672534FBF61A15F8FA56FFF489A34B BT_NES            -- Battletoads NES (US) (No Intro Headerless)
24D246BA605E3592F25EB04AB4DE9FDBF2B87B14 BT_NES_patched    -- Battletoads NES with bugfix patch
61832D0F955CFF169FF059BD557BE4F522B15B7C BTDD_NES          -- Battletoads & Double Dragon NES (US)
0218A66C6EE9887EC9115213A2F5B64055D79599 BTDD_NES          -- Battletoads & Double Dragon NES (US) (No Intro Headered)
A14563325B0F33C358142E7363D31614722FDDB1 BTDD_NES          -- Battletoads & Double Dragon NES (US) (No Intro Headerless)
3041C5C2A88449CF358A57D019930849575F8F6D BT_SNES           -- Battletoads in Battlemaniacs SNES (US)
BF56F12BDDE3E2233D7FFCAF4825B10D92632B77 BTDD_SNES         -- Battletoads Double Dragon SNES (US)
0248CF714380D11E38A4C242A001E97164D477F5 BTDD_SNES_patched -- Battletoads Double Dragon SNES patched for level select

-- Castlevania Block
A31B8BD5B370A9103343C866F3C2B2998E889341 CV1_NES        -- Castlevania NES (US 1.0)
B0F32CE093DE3D741A8A4DE7D7EE04AC6756C6E8 CV1_NES        -- Castlevania NES (US 1.0) (No Intro Headered)
EE09B857C90916EDD92A20C463485A610B0A76FD CV1_NES        -- Castlevania NES (US 1.0) (No Intro Headerless)
A685322FFAFAF8CCB20A78F8E0F9756B154F0772 CV1_NES        -- Castlevania NES death counter hack (needs rework for shuffle on death, however)
D6B96FD98AE480C694A103FE9A5D7D84EEAFB6F7 CV2_NES        -- Castlevania II NES (US)
5CFF70F8313A5EA9058E53CE933C02175E1275CB CV2_NES        -- Castlevania II NES (US) (No Intro Headered)
2447D6133573F7ED2CC49DC95B3130427BD4DC35 CV2_NES        -- Castlevania II NES (US) (No Intro Headerless)
-- may want to track down the improvement hack hash for Castlevania 2
F91281D5D9CC26BCF6FB4DE2F5BE086BC633D49B CV3_NES        -- Castlevania III NES (US)
0BB28DD9C2F8DFABB3349D1F65407B941EE78435 CV3_NES        -- Castlevania III NES (US) (No Intro Headered)
23C4DAFCC17FA75E8D682931702277659CD59735 CV3_NES        -- Castlevania III NES (US) (No Intro Headerless)
A0F3B31D4E3B0D2CA2E8A34F91F14AD99A5AD11F CV3_FAMI       -- Castlevania III NES (JP)
C3248DA0B075FFE93F1D65AA8A1579C91E560309 CV3_FAMI       -- Castlevania III NES (JP) (No Intro Headered)
BEB7E005BCBAC031CE61613FA47DF24AD151E9AB CV3_FAMI       -- Castlevania III NES (JP) (No Intro Headerless)
7F0D853CC6745437264ACD7141221F9DF5429079 CV3_FAMI       -- Castlevania III NES (JP) with translation patch
684C1DFAFF8E5999422C24D48054D96BB12DA2F4 CV4_SNES       -- Super Castlevania IV SNES (US)
0F04FC1B5BF8C9A887ABCF14CE96B0CD         BLOODLINES_GEN -- Castlevania Bloodlines GEN (US)
B5930461DD1F224061D7FE3F380478A9         RONDO_TG16     -- Castlevania Rondo of Blood TG16
3BDAEAFA81AA17C91A8B42D0FA8C5B26E3FD6B80 DRACULAX_SNES  -- Castlevania Dracula X SNES (US)
0DDCBC3D                                 CV_SotN        -- Castlevania Symphony of the Night PSX (US)
E3396BC5                                 CV_SotN        -- Castlevania Symphony of the Night PSX (US) (Redump)
ABD71FE01EBB201BCC133074DB1DD8C5253776C7 CV_AoS         -- Castlevania Aria of Sorrow GBA (US)

-- Mario Block
9286A2DB471D51713E9B75E68B47FFBF11E2D40B MB_NES           -- Mario Bros NES (WW)
314B6E46E814F955B52AC954F67DAB849582FE77 MB_NES           -- Mario Bros NES (WW) (No Intro Headered)
BF43D93D36D7198E65B9B7C4E41DB108FE43FCBA MB_NES           -- Mario Bros NES (WW) (No Intro Headerless)
EA343F4E445A9050D4B4FBAC2C77D0693B1D0922 SMB1_NES         -- Super Mario Bros NES (WW)
33D23C2F2CFA4C9EFEC87F7BC1321CE3CE6C89BD SMB1_NES         -- Super Mario Bros NES (WW) (No Intro Headered)
FACEE9C577A5262DBE33AC4930BB0B58C8C037F7 SMB1_NES         -- Super Mario Bros NES (WW) (No Intro Headerless)
1E6FEC9C3B5AC2EF654B2BCB5DE2EA5F3B7BA482 SMB1_NES         -- Super Mario Bros NES Arcade Pit edition
C91796D3167ED19CB817CAAA2174A299A510E37F SMB2J_NES        -- Super Mario Bros 2 JP FDS (Lost Levels)
20E50128742162EE47561DB9E82B2836399C880C SMB2J_NES        -- Super Mario Bros 2 JP FDS (Lost Levels) (No Intro)
4B051018E39113EA17FB2E801C89004A7E40F998 SMB2J_NES        -- Super Mario Bros 2 JP NES Arcade Pit edition
7DF0F595B074F587C6A1D8F47E031F045D540DAE SMB2_NES         -- Super Mario Bros 2 US NES
D3F8CFD7822C1CF634C2132009F877B44244850F SMB2_NES         -- Super Mario Bros 2 US NES (No Intro Headered)
43AC7C7AAF1846EAD7B544302BB9131E4964FD32 SMB2_NES         -- Super Mario Bros 2 US NES (No Intro Headerless)
A03E7E526E79DF222E048AE22214BCA2BC49C449 SMB3_NES         -- Super Mario Bros 3 NES (US 1.0)
5F9019040FE23CB412A484E1EF430E59E589F9B4 SMB3_NES         -- Super Mario Bros 3 NES (US 1.0) (No Intro Headered)
A611B90B4833B20A364BF06EE3BE3B9093EA4DF9 SMB3_NES         -- Super Mario Bros 3 NES (US 1.0) (No Intro Headerless)
6B47BB75D16514B6A476AA0C73A683A2A4C18765 SMW_SNES         -- Super Mario World SNES (US)
C05817C5B7DF2FBFE631563E0B37237156A8F6B6 SMAS_SNES        -- Super Mario All-Stars SNES (US)
D245E41A2B590F7D63666B0772CBDDFB26F254A2 SMAS_SNES        -- Super Mario All-Stars + Super Mario World SNES (US)
3A4DDB39B234A67FFB361EE7ABC3D23E0A8B1C89 SML1_GB          -- Super Mario Land GB (WW 1.0)
418203621B887CAA090215D97E3F509B79AFFD3E SML1_GB          -- Super Mario Land GB (WW 1.1)
7D95107C45D4F33649324DA2E8A3C8DDB10CDA5E SML1_GB          -- Super Mario Land DX GBC old patch
E33874064BBA13F8871A8BFE8E5C695AB2E49580 SML1_GB          -- Super Mario Land DX GBC 2.0 patch
BBA408539ECBF8D322324956D859BC86E2A9977B SML2_GB          -- Super Mario Land 2 GB (US/EU 1.0)
96E3A314561FB394CDF51101F9178A32713C2313 SML2_GB          -- Super Mario Land 2 GB (US/EU 1.1)
D11D94FA3C36B9F72E925070B66BB4F16D31001E SML2_GB          -- Super Mario Land 2 GB (US/EU 1.2)
B9ED5789C9F481E25A64DAD1C5E8E93E4DDC1B80 SML2_GB          -- Super Mario Land 2 DX GBC patch
9BEF1128717F958171A4AFAC3ED78EE2BB4E86CE SM64_N64         -- Super Mario 64
6DF570060694C5448BF13CCC0218997D2FBF21E3 MPAINT_DPAD_SNES -- Mario Paint with joystick hack
47E103D8398CF5B7CBB42B95DF3A3C270691163B SMK_SNES         -- Super Mario Kart
0BA01C0ED12703D31FB5A01A9B5FA1DFB760B972 SMK_SNES         -- Super Mario Kart with 3 lap hack
6CF18228CFB66D48B3642069979D4A5103CB8528 SOMARI           -- Somari NES (unlicensed)
C807F2856F44FB84326FAC5B462340DCDD0471F8 SMW2YI_SNES      -- Super Mario World 2 Yoshi's Island SNES (US 1.0)
34612A93741F156D6E497462AB7F253CB8A959A0 SMW2YI_SNES      -- Super Mario World 2 Yoshi's Island SNES (US 1.1)
--maybe supported someday, no promises ok?
--D8DFACBFEC34CDC871D73C901811551FE1706923 DK1_NES        -- Donkey Kong NES (WW)
--02633E208732B598E3A8EB80B6E0E09926F25E83 DKJR_NES       -- Donkey Kong Jr NES (WW)
--EC6FA944C672A2522C8BC270A25842281C65FF5D DK3_NES        -- Donkey Kong 3 NES (WW)
--A3B727119870E6BBA4C8889EF12E9703021EA9C2 NOTGOLF_NES    -- NES Open Tournament Golf NES (US)
--A22713711B5CD58DFBAFC9688DADEA66C59888CE NSMB_DS

-- Super Metroid and Link to the Past
DA957F0D63D14CB441D215462904C4FA8519C613 SuperMetroid -- Super Metroid SNES (US/JP 1.0)
E7E852F0159CE612E3911164878A9B08B3CB9060 LTTP         -- Link to the Past SNES (JP 1.0)
6D4F10A8B10E10DBE624CB23CF03B88BB8252973 LTTP         -- Link to the Past SNES (US)
--"PASTE YOUR HASH HERE AND REMOVE THE -- AT THE FRONT OF THIS LINE" LTTP -- YOUR SEED/REVISION FOR LTTP
--"PASTE YOUR HASH HERE AND REMOVE THE -- AT THE FRONT OF THIS LINE" SuperMetroid -- YOUR SEED/REVISION FOR SUPER METROID
--"PASTE YOUR HASH HERE AND REMOVE THE -- AT THE FRONT OF THIS LINE" SMZ3 -- YOUR SMZ3 ROM
-- MAKE MULTIPLE LINES WITH EACH HASH IF YOU ARE SHUFFLING MULTIPLE ROMS OF THESE RANDOMIZERS

-- other supported games!
3634826A2A03074928052F90928DA10DC715E77B Anticipation    -- Anticipation NES (US)
A3B8D2584D24EF58569D27076AAC451D487BC320 Anticipation    -- Anticipation NES (US) (No Intro Headered)
3954E690CBF5241181DC592F01E87BEFA5531374 Anticipation    -- Anticipation NES (US) (No Intro Headerless)
9F6FF6264E0361E074F9CFEE2EC4976866A781C5 BUBSY1_SNES     -- Bubsy in Claws Encounters of the Furred Kind SNES (US)
72CFB569819DA4E799BF8FA1A6F023664CC7069B Novolin         -- Captain Novolin SNES
39A5FDB7EFD4425A8769FD3073B00DD85F6CD574 CNDRR1          -- Chip and Dale Rescue Rangers NES (US)
8F99E72354ED75469290D3F997CFF6C9E393A781 CNDRR1          -- Chip and Dale Rescue Rangers NES (US) (No Intro Headered)
BD21B1C548F183A136B1357A283E46F73702D08D CNDRR1          -- Chip and Dale Rescue Rangers NES (US) (No Intro Headerless)
743D60EE1536B0C7C24DBB8BA39D14ED5937C0D5 DemonsCrest     -- Demon's Crest SNES (US)
D3EFD32B68F1FE37A82DB9D9929B7CA7CC1A3AF4 FZERO_SNES      -- F-Zero SNES
A582DF3B880A0C8DDC1CDA358C96E306C1E222BB FZERO_SNES      -- F-Zero SNES with 3 lap hack
3F20C2C8749CCEE3A53732B41AE026BF3AAA2158 FamilyFeud_SNES -- Family Feud SNES (US 1.0)
8556B6545B78022FE55705A83C3E751C463F56C7 FamilyFeud_SNES -- Family Feud SNES (US 1.1)
E099D688760FF0CE114CA8A9FD083E31E41CFADE KIRBY_NES       -- Kirby's Adventure NES (US 1.0)
57F02801D29D3AC1FB9DA7294F0603C43A6F439F KIRBY_NES       -- Kirby's Adventure NES (US 1.0) (No Intro Headered)
32473799F96406D73AA37D5CF66E0E27F1F339DA KIRBY_NES       -- Kirby's Adventure NES (US 1.0) (No Intro Headerless)
F324E7C8C3AD102ECDCCA011ECC494F6F345D768 KIRBY_NES       -- Kirby's Adventure NES (US 1.1)
5C2810BCA7659F3AEB4A993B1C38F228B0FC1C0E KIRBY_NES       -- Kirby's Adventure NES (US 1.1) (No Intro Headered)
118307DA6C77A592F0884BAAD14120301D8D3A1B KIRBY_NES       -- Kirby's Adventure NES (US 1.1) (No Intro Headerless)
5DB2C9E02D3551292A0218F73875F9F08318ECB9 Monopoly_NES    -- Monopoly NES (US)
8B152D1948CE4113F06757D2F33C2DAB9D5E7CCD Monopoly_NES    -- Monopoly NES (US) (No Intro Headered)
67FD2B7B9B72B8635515BB37926D77970720E3D6 Monopoly_NES    -- Monopoly NES (US) (No Intro Headerless)
42F954E9BD3256C011ABA14C7E5B400ABE35FDE3 SuperDodgeBall  -- Super Dodge Ball NES (US)
75DAD8B461864DDD396C75BDB68378BB2BC47D99 SuperDodgeBall  -- Super Dodge Ball NES (US) (No Intro Headered)
7A466684F5928FE656841DF20BCB458E74108239 SuperDodgeBall  -- Super Dodge Ball NES (US) (No Intro Headerless)
